0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9350429875616746,0.8,0.7497589199614272,0.9990272373540856,0.9,0.9130434782608696,0.8664240659873848
2,Accuracy,0.9942196531791907,0.9980732177263969,0.9990366088631984,0.9980732177263969,0.9985549132947977,0.9980732177263969,0.9975915221579962
3,Error Rate,0.005780346820809301,0.0019267822736031004,0.0009633911368015502,0.0019267822736031004,0.0014450867052022698,0.0019267822736031004,0.00240847784200382
4,Precision,0.9945027486256871,1.0,0.5,0.8333333333333334,1.0,1.0,0.9166666666666666
5,Recall,0.9994977398292315,0.6,0.5,1.0,0.8,0.8260869565217391,0.7333333333333333
6,Specificity,0.8705882352941177,1.0,0.9995178399228544,0.9980544747081712,1.0,1.0,0.9995147986414362
7,F1,0.9969939879759518,0.7499999999999999,0.5,0.9090909090909091,0.888888888888889,0.9047619047619047,0.8148148148148148
8,TP,1990.0,6.0,1.0,20.0,12.0,19.0,11.0
9,FP,11.0,0.0,1.0,4.0,0.0,0.0,1.0
10,FN,1.0,4.0,1.0,0.0,3.0,4.0,4.0
11,TN,74.0,2066.0,2073.0,2052.0,2061.0,2053.0,2060.0
12,Micro F1,0.9942196531791907,0.9980732177263969,0.9990366088631984,0.9980732177263969,0.9985549132947977,0.9980732177263969,0.9975915221579962
13,Macro F1,0.9609969939879759,0.8745164410058026,0.7497589199614272,0.9540585996282198,0.9440808080808081,0.9518943343760862,0.9068013468013467
14,Weighted F1,0.994046257254393,0.9978333016550949,0.9990366088631984,0.9981598606754091,0.998475156186139,0.9979824037965045,0.9974585936435647
15,Log-Loss,0.19965034311688937,0.06654870210965548,0.03327473621736687,0.06655024275981,0.04991152658224186,0.0665487021096555,0.08318626279960774
16,ROC AUC,0.9350429875616746,0.8,0.7497589199614272,0.9990272373540856,0.9,0.9130434782608696,0.8664240659873848
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9538851313645393,0.8214285714285714,0.8569110537121664,0.9047619047619048,0.9782608695652174,0.9814406099518459,0.9685172253258845
2,Accuracy,0.994916820702403,0.9976894639556377,0.9986136783733827,0.9981515711645101,0.9995378927911276,0.9981515711645101,0.9990757855822551
3,Error Rate,0.005083179297597051,0.002310536044362266,0.0013863216266173373,0.001848428835489857,0.00046210720887240875,0.001848428835489857,0.0009242144177449285
4,Precision,0.9951550387596899,1.0,0.8333333333333334,1.0,1.0,0.9,0.9375
5,Recall,0.9995133819951338,0.6428571428571429,0.7142857142857143,0.8095238095238095,0.9565217391304348,0.9642857142857143,0.9375
6,Specificity,0.908256880733945,1.0,0.9995363931386184,1.0,1.0,0.9985955056179775,0.999534450651769
7,F1,0.9973294488953629,0.782608695652174,0.7692307692307692,0.8947368421052632,0.9777777777777777,0.9310344827586207,0.9375
8,TP,2054.0,9.0,5.0,17.0,22.0,27.0,15.0
9,FP,10.0,0.0,1.0,0.0,0.0,3.0,1.0
10,FN,1.0,5.0,2.0,4.0,1.0,1.0,1.0
11,TN,99.0,2150.0,2156.0,2143.0,2141.0,2133.0,2147.0
12,Micro F1,0.994916820702403,0.9976894639556377,0.9986136783733827,0.9981515711645101,0.9995378927911276,0.9981515711645101,0.9990757855822551
13,Macro F1,0.9723489349739973,0.8907236277331718,0.8842677600499153,0.9469022205864311,0.9887721482865074,0.9650488573043688,0.9685172253258845
14,Weighted F1,0.9948129276223232,0.9974396605081307,0.9985605189506379,0.9980551471747113,0.9995328122132586,0.9981830077398759,0.9990757855822551
15,Log-Loss,0.1755704881323113,0.07980308778861163,0.04788222217290407,0.06384247023088951,0.01596061755772312,0.06384357873009956,0.03192160461518193
16,ROC AUC,0.9538851313645393,0.8214285714285714,0.8569110537121664,0.9047619047619048,0.9782608695652174,0.9814406099518459,0.9685172253258845
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9133966110332526,0.9166666666666667,0.8571428571428572,0.940215394182661,0.9372598463016331,0.7795176073323686,0.969867427989937
2,Accuracy,0.9895138226882746,0.9990467111534795,0.9990467111534795,0.9971401334604385,0.9985700667302193,0.9938036224976168,0.998093422306959
3,Error Rate,0.010486177311725409,0.0009532888465204614,0.0009532888465204614,0.0028598665395614953,0.0014299332697806921,0.006196377502383221,0.0019065776930410339
4,Precision,0.9920556107249255,1.0,1.0,0.7894736842105263,0.9333333333333333,0.875,0.8421052631578947
5,Recall,0.9970059880239521,0.8333333333333334,0.7142857142857143,0.8823529411764706,0.875,0.56,0.9411764705882353
6,Specificity,0.8297872340425532,1.0,1.0,0.9980778471888515,0.9995196926032661,0.9990352146647371,0.9985583853916387
7,F1,0.9945246391239424,0.9090909090909091,0.8333333333333333,0.8333333333333333,0.9032258064516129,0.6829268292682927,0.8888888888888888
8,TP,1998.0,10.0,5.0,15.0,14.0,14.0,16.0
9,FP,16.0,0.0,0.0,4.0,1.0,2.0,3.0
10,FN,6.0,2.0,2.0,2.0,2.0,11.0,1.0
11,TN,78.0,2086.0,2091.0,2077.0,2081.0,2071.0,2078.0
12,Micro F1,0.9895138226882746,0.9990467111534795,0.9990467111534795,0.9971401334604385,0.9985700667302193,0.9938036224976168,0.998093422306959
13,Macro F1,0.9354645667529824,0.9543058762033367,0.916427660930529,0.9159455128205127,0.9512527591681834,0.839899034369405,0.9439636752136752
14,Weighted F1,0.989232316146945,0.9990036082296355,0.9989674982577721,0.9972188867297304,0.9985471749510407,0.993130243162102,0.998145924486487
15,Log-Loss,0.36218583138556726,0.03292543030973472,0.03292543030973472,0.098777815423826,0.04938852658825755,0.21401605926058215,0.06585200399043634
16,ROC AUC,0.9133966110332526,0.9166666666666667,0.8571428571428572,0.940215394182661,0.9372598463016331,0.7795176073323685,0.969867427989937
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9198113207547169,0.86643709825528,1.0,0.9777835408022131,1.0,0.8125,0.7666666666666666
2,Accuracy,0.9922480620155039,0.9977200182398541,1.0,0.9968080255357957,1.0,0.9945280437756497,0.9968080255357957
3,Error Rate,0.007751937984496138,0.002279981760145877,0.0,0.0031919744642042724,0.0,0.005471956224350261,0.0031919744642042724
4,Precision,0.9919201520912547,0.9166666666666666,1.0,0.7931034482758621,1.0,1.0,1.0
5,Recall,1.0,0.7333333333333333,1.0,0.9583333333333334,1.0,0.625,0.5333333333333333
6,Specificity,0.839622641509434,0.9995408631772268,1.0,0.9972337482710927,1.0,1.0,1.0
7,F1,0.9959436888570747,0.8148148148148148,1.0,0.8679245283018867,1.0,0.7692307692307693,0.6956521739130436
8,TP,2087.0,11.0,5.0,23.0,15.0,20.0,8.0
9,FP,17.0,1.0,0.0,6.0,0.0,0.0,0.0
10,FN,0.0,4.0,0.0,1.0,0.0,12.0,7.0
11,TN,89.0,2177.0,2188.0,2163.0,2178.0,2161.0,2178.0
12,Micro F1,0.9922480620155039,0.9977200182398541,1.0,0.9968080255357957,1.0,0.9945280437756497,0.9968080255357957
13,Macro F1,0.9543821008387938,0.9068338813693253,1.0,0.9331545097082939,1.0,0.8832309822157538,0.8470238866356417
14,Weighted F1,0.991925879162649,0.997594137163856,1.0,0.9969567487036168,1.0,0.9939042396006295,0.9963248508941823
15,Log-Loss,0.26774865110341867,0.07874814481166703,9.992007221626415e-16,0.11024907995848524,9.992007221626415e-16,0.18899467247557244,0.11024689227741769
16,ROC AUC,0.919811320754717,0.86643709825528,1.0,0.9777835408022131,1.0,0.8125,0.7666666666666666
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9714602445110676,0.9666666666666667,0.9285714285714286,1.0,0.95,0.9997707473635946,0.906021897810219
2,Accuracy,0.9968297101449275,0.9995471014492754,0.9995471014492754,1.0,0.9990942028985508,0.9995471014492754,0.9981884057971014
3,Error Rate,0.0031702898550725056,0.00045289855072461194,0.00045289855072461194,0.0,0.0009057971014492239,0.00045289855072461194,0.0018115942028985588
4,Precision,0.9971523493118177,1.0,1.0,1.0,1.0,0.9642857142857143,0.9285714285714286
5,Recall,0.9995242626070409,0.9333333333333333,0.8571428571428571,1.0,0.9,1.0,0.8125
6,Specificity,0.9433962264150944,1.0,1.0,1.0,1.0,0.9995414947271893,0.9995437956204379
7,F1,0.9983368971252079,0.9655172413793104,0.923076923076923,1.0,0.9473684210526316,0.9818181818181818,0.8666666666666666
8,TP,2101.0,14.0,6.0,21.0,18.0,27.0,13.0
9,FP,6.0,0.0,0.0,0.0,0.0,1.0,1.0
10,FN,1.0,1.0,1.0,0.0,2.0,0.0,3.0
11,TN,100.0,2193.0,2201.0,2187.0,2188.0,2180.0,2191.0
12,Micro F1,0.9968297101449275,0.9995471014492754,0.9995471014492754,1.0,0.9990942028985508,0.9995471014492754,0.9981884057971014
13,Macro F1,0.9822602360022175,0.9826446475873074,0.9614249026013733,1.0,0.9734557957250367,0.9907944383064768,0.9328773369813042
14,Weighted F1,0.996793304662312,0.9995393444718262,0.9995297337049257,1.0,0.999070573030188,0.99955116678283,0.9981284323638455
15,Log-Loss,0.1095001052305064,0.01564256177305837,0.01564256177305837,9.992007221626415e-16,0.031285123546115755,0.015642923909575668,0.0625706092287478
16,ROC AUC,0.9714602445110676,0.9666666666666667,0.9285714285714286,1.0,0.95,0.9997707473635946,0.906021897810219
