0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5643615656157239,0.43073789044816657,0.4363186318631863,0.40512936904221514,0.4079601990049751,0.4062216167120799,0.9801084990958409
2,Accuracy,0.1761006289308176,0.8548966756513926,0.8710691823899371,0.8018867924528302,0.8104222821203954,0.8036837376460018,0.9604672057502246
3,Error Rate,0.8238993710691824,0.1451033243486074,0.12893081761006286,0.19811320754716977,0.18957771787960465,0.19631626235399824,0.039532794249775405
4,Precision,0.9966329966329966,0.0,0.0,0.0,0.0,0.0,0.13725490196078433
5,Recall,0.13903240958196336,0.0,0.0,0.0,0.0,0.0,1.0
6,Specificity,0.9896907216494846,0.8614757808963331,0.8726372637263726,0.8102587380844303,0.8159203980099502,0.8124432334241598,0.9602169981916817
7,F1,0.24402308326463312,0.0,0.0,0.0,0.0,0.0,0.24137931034482762
8,TP,296.0,0.0,0.0,0.0,0.0,0.0,14.0
9,FP,1.0,306.0,283.0,418.0,407.0,413.0,88.0
10,FN,1833.0,17.0,4.0,23.0,15.0,24.0,0.0
11,TN,96.0,1903.0,1939.0,1785.0,1804.0,1789.0,2124.0
12,Micro F1,0.1761006289308176,0.8548966756513926,0.8710691823899371,0.8018867924528302,0.8104222821203954,0.8036837376460018,0.9604672057502246
13,Macro F1,0.1693955495296512,0.4608864131751029,0.4655462184873949,0.4450261780104712,0.4476426799007444,0.4455790784557908,0.610542053696399
14,Weighted F1,0.2375191562455017,0.9147332315398045,0.9294193148957695,0.8808559480297107,0.8892524395871931,0.8815499827130739,0.9750612405278248
15,Log-Loss,28.456476508474225,5.011801191540787,4.453214335764652,6.842737925373511,6.547928605034321,6.780671841111698,1.3654459511796941
16,ROC AUC,0.5643615656157239,0.43073789044816657,0.4363186318631863,0.4051293690422152,0.40796019900497515,0.4062216167120799,0.9801084990958409
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.57666015625,0.5226299220725603,0.4391485423415086,0.4206238361266294,0.41221551323734323,0.4288456393793473,0.9225078262570925
2,Accuracy,0.20128972823583602,0.8180561953017043,0.874251497005988,0.8323353293413174,0.81759557807462,0.8162137263933671,0.9497927222478121
3,Error Rate,0.798710271764164,0.18194380469829574,0.12574850299401197,0.16766467065868262,0.18240442192537998,0.1837862736066329,0.05020727775218792
4,Precision,1.0,0.01038961038961039,0.0,0.0,0.0,0.00273224043715847,0.13709677419354838
5,Recall,0.1533203125,0.2222222222222222,0.0,0.0,0.0,0.02857142857142857,0.8947368421052632
6,Specificity,1.0,0.8230376219228983,0.8782970846830171,0.8412476722532588,0.8244310264746865,0.829119850187266,0.9502788104089219
7,F1,0.26587637595258257,0.019851116625310174,0.0,0.0,0.0,0.004987531172069825,0.23776223776223776
8,TP,314.0,4.0,0.0,0.0,0.0,1.0,17.0
9,FP,0.0,381.0,263.0,341.0,378.0,365.0,107.0
10,FN,1734.0,14.0,10.0,23.0,18.0,34.0,2.0
11,TN,123.0,1772.0,1898.0,1807.0,1775.0,1771.0,2045.0
12,Micro F1,0.20128972823583602,0.8180561953017043,0.874251497005988,0.8323353293413174,0.81759557807462,0.8162137263933672,0.9497927222478121
13,Macro F1,0.1950594000975034,0.45978592896510495,0.46645367412140576,0.45424836601307184,0.44982260516979217,0.4518720959590367,0.6059018380999805
14,Weighted F1,0.25785197426656253,0.8924256453840187,0.9286102162840699,0.8988719393791601,0.8921861528609512,0.8843476697118775,0.9675977236459988
15,Log-Loss,27.586475480780802,6.284256712395498,4.343296292001271,5.7910581623543,6.300164762880353,6.347887441101513,1.7341373486735592
16,ROC AUC,0.57666015625,0.5226299220725603,0.4391485423415086,0.4206238361266294,0.41221551323734323,0.42884563937934717,0.9225078262570926
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5867370353373107,0.4298592788038698,0.4359086918349429,0.4179203539823009,0.4111943587483473,0.40844758956214067,0.9455399061032863
2,Accuracy,0.2125054656755575,0.854831657192829,0.8683865325754263,0.8259728902492348,0.8159160472234368,0.8076082203760385,0.9575863576738085
3,Error Rate,0.7874945343244425,0.14516834280717095,0.1316134674245737,0.17402710975076519,0.1840839527765632,0.19239177962396148,0.04241364232619149
4,Precision,1.0,0.0,0.0,0.0,0.0,0.0,0.12727272727272726
5,Recall,0.1734740706746214,0.0,0.0,0.0,0.0,0.0,0.9333333333333333
6,Specificity,1.0,0.8597185576077396,0.8718173836698858,0.8358407079646017,0.8223887174966946,0.8168951791242813,0.9577464788732394
7,F1,0.29565897536175206,0.0,0.0,0.0,0.0,0.0,0.22399999999999998
8,TP,378.0,0.0,0.0,0.0,0.0,0.0,14.0
9,FP,0.0,319.0,292.0,371.0,403.0,414.0,96.0
10,FN,1801.0,13.0,9.0,27.0,18.0,26.0,1.0
11,TN,108.0,1955.0,1986.0,1889.0,1866.0,1847.0,2176.0
12,Micro F1,0.2125054656755575,0.854831657192829,0.8683865325754263,0.8259728902492348,0.8159160472234368,0.8076082203760385,0.9575863576738085
13,Macro F1,0.2013743562976336,0.46086751532296083,0.46477884390358065,0.45234674329501917,0.4493137490970383,0.44678277697145624,0.6010986738592943
14,Weighted F1,0.2867540878594129,0.91649560983333,0.9258996120790177,0.8940128026644016,0.8915547850469435,0.8834069599759182,0.9732507101078414
15,Log-Loss,27.199097633246236,5.0140484629167394,4.54587021308165,6.010813142029321,6.358175382606807,6.645121402316048,1.4649488726102478
16,ROC AUC,0.5867370353373107,0.4298592788038698,0.43590869183494296,0.4179203539823009,0.4111943587483473,0.40844758956214067,0.9455399061032864
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5920852359208524,0.4240659873847647,0.4356555394291243,0.42996108949416345,0.40485436893203886,0.415486077186126,0.9788321167883212
2,Accuracy,0.22506024096385543,0.8424096385542169,0.8679518072289156,0.8520481927710843,0.803855421686747,0.8197590361445783,0.9580722891566265
3,Error Rate,0.7749397590361445,0.1575903614457831,0.13204819277108437,0.14795180722891565,0.19614457831325305,0.18024096385542165,0.041927710843373545
4,Precision,1.0,0.0,0.0,0.0,0.0,0.0,0.18691588785046728
5,Recall,0.1841704718417047,0.0,0.0,0.0,0.0,0.0,1.0
6,Specificity,1.0,0.8481319747695294,0.8713110788582487,0.8599221789883269,0.8097087378640777,0.830972154372252,0.9576642335766423
7,F1,0.31105398457583544,0.0,0.0,0.0,0.0,0.0,0.31496062992125984
8,TP,363.0,0.0,0.0,0.0,0.0,0.0,20.0
9,FP,0.0,313.0,266.0,288.0,392.0,346.0,87.0
10,FN,1608.0,14.0,8.0,19.0,15.0,28.0,0.0
11,TN,104.0,1748.0,1801.0,1768.0,1668.0,1701.0,1968.0
12,Micro F1,0.22506024096385543,0.8424096385542169,0.8679518072289156,0.8520481927710843,0.803855421686747,0.8197590361445783,0.9580722891566265
13,Macro F1,0.21279571475487807,0.4572325398901387,0.46465428276573784,0.46005724694249284,0.44563184611274387,0.4504766949152542,0.646667488711562
14,Weighted F1,0.3012044809022165,0.9082951949046514,0.9257256891342459,0.9116893491217015,0.8848208221612072,0.8887959464978559,0.97197999841675
15,Log-Loss,26.76547105687536,5.443098869942865,4.560885506082873,5.110185367372278,6.774744787913872,6.2254356782686475,1.4481653548595943
16,ROC AUC,0.5920852359208524,0.4240659873847647,0.4356555394291243,0.42996108949416345,0.40485436893203886,0.41548607718612607,0.9788321167883212
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5664819944598338,0.41053327457029526,0.43936731107205623,0.44940476190476186,0.3976621085134539,0.41171251109139306,0.9521180380279319
2,Accuracy,0.17811816192560176,0.8153172866520788,0.87527352297593,0.8485776805251641,0.7890590809628009,0.812253829321663,0.9518599562363238
