0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,Accuracy,0.9521203830369357,0.9940720474236207,0.9963520291837665,0.9913360693114455,0.9904240766073872,0.9895120839033288,0.9904240766073872
3,Error Rate,0.04787961696306431,0.005927952576379347,0.00364797081623347,0.008663930688554533,0.009575923392612817,0.010487916096671213,0.009575923392612817
4,Precision,0.9521203830369357,0.0,0.0,0.0,0.0,0.0,0.0
5,Recall,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Specificity,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,F1,0.9754730203223545,0.0,0.0,0.0,0.0,0.0,0.0
8,TP,2088.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FP,105.0,0.0,0.0,0.0,0.0,0.0,0.0
10,FN,0.0,13.0,8.0,19.0,21.0,23.0,21.0
11,TN,0.0,2180.0,2185.0,2174.0,2172.0,2170.0,2172.0
12,Micro F1,0.9521203830369357,0.9940720474236207,0.9963520291837665,0.9913360693114455,0.9904240766073872,0.9895120839033288,0.9904240766073872
13,Macro F1,0.48773651016117725,0.4985136062199863,0.4990863407948835,0.49782459354247766,0.4975945017182131,0.4973641989456796,0.4975945017182131
14,Weighted F1,0.9287677457515167,0.9911168824072687,0.9945313767777662,0.9870229515379356,0.9856591497783482,0.9842957699152984,0.9856591497783482
15,Log-Loss,1.6537416685799335,0.2047442285152034,0.12599644831704862,0.29924156475298913,0.33074067683225106,0.3622397889115129,0.330740676832251
16,ROC AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,Accuracy,0.9538116591928251,0.9928251121076234,0.9964125560538116,0.9901345291479821,0.9932735426008968,0.9874439461883409,0.9937219730941704
3,Error Rate,0.04618834080717493,0.007174887892376636,0.0035874439461883734,0.009865470852017943,0.006726457399103158,0.01255605381165914,0.00627802690582957
4,Precision,0.9538116591928251,0.0,0.0,0.0,0.0,0.0,0.0
