0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9763145246563492,0.8912269612083306,0.8740710636321412,0.8983652498832322,0.7878396972824218,0.8849611118194568,0.8312334733240005
2,Accuracy,0.99074502545118,0.99537251272559,0.9972235076353541,0.994909763998149,0.993058769088385,0.994909763998149,0.993058769088385
3,Error Rate,0.00925497454881996,0.00462748727440998,0.002776492364645944,0.00509023600185099,0.006941230911615026,0.00509023600185099,0.006941230911615026
4,Precision,0.998046875,0.6111111111111112,0.6,0.6956521739130435,0.6111111111111112,0.7391304347826086,0.5714285714285714
5,Recall,0.9922330097087378,0.7857142857142857,0.75,0.8,0.5789473684210527,0.7727272727272727,0.6666666666666666
6,Specificity,0.9603960396039604,0.9967396367023754,0.9981421272642824,0.9967304997664642,0.9967320261437909,0.9971949509116409,0.9958002799813346
7,F1,0.9951314508276533,0.6875000000000001,0.6666666666666665,0.7441860465116279,0.5945945945945946,0.7555555555555555,0.6153846153846153
8,TP,2044.0,11.0,6.0,16.0,11.0,17.0,12.0
9,FP,4.0,7.0,4.0,7.0,7.0,6.0,9.0
10,FN,16.0,3.0,2.0,4.0,8.0,5.0,6.0
11,TN,97.0,2140.0,2149.0,2134.0,2135.0,2133.0,2134.0
12,Micro F1,0.99074502545118,0.99537251272559,0.9972235076353541,0.994909763998149,0.993058769088385,0.994909763998149,0.993058769088385
13,Macro F1,0.9508367534512099,0.8425844988344988,0.8326363073110284,0.8708076762121122,0.7955470055820115,0.8764918296833191,0.805941198656585
14,Weighted F1,0.9909909932293,0.995659573343516,0.9973771121153582,0.99508554599218,0.9929657786159245,0.9949657271051031,0.9933233085376286
15,Log-Loss,0.31965697653305714,0.1598303383299955,0.09589812899545906,0.17581311315410966,0.23974421245056626,0.1758127431414164,0.23974495247595284
16,ROC AUC,0.9763145246563492,0.8912269612083306,0.8740710636321413,0.8983652498832321,0.7878396972824218,0.8849611118194567,0.8312334733240005
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9779894658488095,0.883232896136122,0.8566832983193278,0.9979205175600739,0.7369389013699836,0.8331014223871367,0.8638991389913899
2,Accuracy,0.9935868071461291,0.9958772331653688,0.9981676591846084,0.9958772331653688,0.9926706367384334,0.9954191479615209,0.9926706367384334
3,Error Rate,0.006413192853870875,0.004122766834631197,0.001832340815391631,0.004122766834631197,0.007329363261566635,0.004580852038479133,0.007329363261566635
