0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9969077069457659,0.9990875912408759,0.9993175614194723,0.9503205128205128,0.8395892521789378,0.8564538355535141,0.6646118721461187
2,Accuracy,0.9941043083900227,0.9981859410430839,0.998639455782313,0.9950113378684807,0.9922902494331066,0.9950113378684807,0.9913832199546485
3,Error Rate,0.005895691609977272,0.0018140589569161092,0.0013605442176870541,0.0049886621315192725,0.007709750566893381,0.0049886621315192725,0.008616780045351491
4,Precision,1.0,0.7647058823529411,0.7,0.6785714285714286,0.5416666666666666,0.8695652173913043,0.35714285714285715
5,Recall,0.9938154138915318,1.0,1.0,0.9047619047619048,0.6842105263157895,0.7142857142857143,0.3333333333333333
6,Specificity,1.0,0.9981751824817519,0.9986351228389445,0.9958791208791209,0.994967978042086,0.9986219568213137,0.9958904109589041
7,F1,0.9968981150083512,0.8666666666666666,0.8235294117647058,0.7755102040816326,0.6046511627906976,0.7843137254901961,0.3448275862068965
8,TP,2089.0,13.0,7.0,19.0,13.0,20.0,5.0
9,FP,0.0,4.0,3.0,9.0,11.0,3.0,9.0
10,FN,13.0,0.0,0.0,2.0,6.0,8.0,10.0
11,TN,103.0,2188.0,2195.0,2175.0,2175.0,2174.0,2181.0
12,Micro F1,0.9941043083900227,0.9981859410430839,0.998639455782313,0.9950113378684807,0.9922902494331066,0.9950113378684807,0.9913832199546485
13,Macro F1,0.9687686922073719,0.9328767123287671,0.9114232535718589,0.8864939234120615,0.80037916509125,0.8908951054613173,0.6702453384127384
14,Weighted F1,0.994270150792024,0.9983060499694552,0.9987590392405541,0.9953636671361964,0.9927340771027225,0.9947696567347593,0.9912356382076162
15,Log-Loss,0.20362997421035875,0.06265682719699125,0.046992620397743684,0.1723055495332841,0.2662893398118893,0.17230337375796387,0.2976163028935042
16,ROC AUC,0.9969077069457659,0.999087591240876,0.9993175614194723,0.9503205128205128,0.8395892521789378,0.8564538355535141,0.6646118721461187
0,CV,ACTIVITIES,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
1,Balanced Accuracy,0.9714275361943756,0.8315143246930423,0.7461503623188406,0.7362712526871213,0.7845779220779221,0.8777604064881767,0.8557792207792208
